CACZAD010000010.1_cluster_1	GCF0000001
MQUH01000030.1_cluster_1	GCF0017164
CP073318.1_cluster_34	GCF0017165
VOBR01000028.1_cluster_2	GCF0017166
UGSN01000004.1_cluster_2	GCF0017167
BHZD01000001.1_cluster_20	GCF0017168
CP027541.1_cluster_11	GCF0017169
FNTA01000004.1_cluster_5	GCF0017170
MAUD01000053.1_cluster_1	GCF0017171
FNCN01000013.1_cluster_1	GCF0017172
CDME01000002.1_cluster_11	GCF0017173
BMVG01000026.1_cluster_1	GCF0017174
WHOL01000083.1_cluster_1	GCF0017175
LT985361.1_cluster_20	GCF0017176
CP046173.1_cluster_44	GCF0017177
CP078145.1_cluster_31	GCF0017178
JADLRE010000033.1_cluster_1	GCF0017179
CP030772.1_cluster_3	GCF0017180
CP030772.1_cluster_5	GCF0017181
VWMY01000086.1_cluster_1	GCF0017182
CP046173.1_cluster_50	GCF0017183
AORZ01000173.1_cluster_1	GCF0017184
CP083590.1_cluster_45	GCF0017185
CP020041.1_cluster_2	GCF0017186
JACHIT010000002.1_cluster_12	GCF0017187
JNZF01000012.1_cluster_1	GCF0017188
VUOS01000029.1_cluster_1	GCF0017189
CP046173.1_cluster_1	GCF0017190
BNBM01000001.1_cluster_6	GCF0017191
JAFFSX010000021.1_cluster_1	GCF0017192
CP023778.1_cluster_48	GCF0017193
MUXN01000011.1_cluster_2	GCF0017194
JOIW01000013.1_cluster_4	GCF0017195
FOFV01000026.1_cluster_1	GCF0017196
JOFX01000032.1_cluster_1	GCF0017197
BMSQ01000045.1_cluster_1	GCF0017198
SMKS01000087.1_cluster_1	GCF0017199
BOOH01000065.1_cluster_1	GCF0017200
JNWJ01000010.1_cluster_1	GCF0017201
WING01000001.1_cluster_26	GCF0017202
JACTVJ010000005.1_cluster_1	GCF0017203
JAEIMH010000079.1_cluster_1	GCF0017204
AQUI01000002.1_cluster_6	GCF0017205
FOFR01000041.1_cluster_1	GCF0017206
JAFAWY010000135.1_cluster_1	GCF0017207
JQMO01000002.1_cluster_3	GCF0017208
CP003720.1_cluster_17	GCF0017209
FZPH01000001.1_cluster_1	GCF0017210
NSGV01000003.1_cluster_3	GCF0017211
BBPP01000031.1_cluster_1	GCF0017212
LLZI01000135.1_cluster_1	GCF0017213
NISY01000005.1_cluster_4	GCF0017214
CP019420.1_cluster_10	GCF0017215
MQUQ01000028.1_cluster_2	GCF0017216
AOPZ01000132.1_cluster_1	GCF0017217
RBDX01000002.1_cluster_2	GCF0017218
CP011492.1_cluster_21	GCF0017219
LIRK01000893.1_cluster_1	GCF0017220
BNBU01000001.1_cluster_8	GCF0017221
BMMF01000014.1_cluster_1	GCF0017222
JAATER010000199.1_cluster_1	GCF0017223
MLYN01000018.1_cluster_1	GCF0017224
WMLF01000222.1_cluster_1	GCF0017225
WJBG01000148.1_cluster_1	GCF0017226
LRTP01000367.1_cluster_1	GCF0017227
MEHL01000001.1_cluster_2	GCF0017228
LWKZ01000025.1_cluster_3	GCF0017229
NNBO01000012.1_cluster_1	GCF0017230
LGUV01000337.1_cluster_1	GCF0017231
FLSP01000019.1_cluster_1	GCF0017232
RZYA01000014.1_cluster_2	GCF0017233
CP031695.1_cluster_5	GCF0017234
JACAPA010000036.1_cluster_1	GCF0017235
JAGHQW010000045.1_cluster_1	GCF0017236
LJJF01000001.1_cluster_41	GCF0017237
QBDT01000001.1_cluster_32	GCF0017238
BMMK01000014.1_cluster_1	GCF0017239
WOTN01000002.1_cluster_1	GCF0017240
CP021121.1_cluster_35	GCF0017241
JAFAUH010000210.1_cluster_1	GCF0017242
JABETO010000005.1_cluster_1	GCF0017243
JAGGPB010000020.1_cluster_1	GCF0017244
BNBD01000005.1_cluster_2	GCF0017245
JAEEAP010000455.1_cluster_1	GCF0017246
CP061281.1_cluster_5	GCF0017247
JACXKK010000001.1_cluster_2	GCF0017248
VOGW01000087.1_cluster_3	GCF0017249
AZWQ01000008.1_cluster_2	GCF0017250
AZWO01000025.1_cluster_1	GCF0017251
JADLRY010000002.1_cluster_6	GCF0017252
NQRV01000008.1_cluster_1	GCF0017253
CP029823.1_cluster_30	GCF0017254
JAGJBY010000002.1_cluster_37	GCF0017255
KQ948853.1_cluster_1	GCF0017256
JACHDS010000001.1_cluster_10	GCF0017257
JAEAMR010000006.1_cluster_3	GCF0017258
BGC0000933	GCF0017259
CP002040.1_cluster_9	GCF0017260
RIBZ01000839.1_cluster_1	GCF0017261
BBUZ01000035.1_cluster_1	GCF0017262
CP003219.1_cluster_32	GCF0017263
LIVP01000015.1_cluster_2	GCF0017264
MTQO01000036.1_cluster_1	GCF0017265
FOFF01000015.1_cluster_1	GCF0017266
VSEX01000116.1_cluster_1	GCF0017267
BONY01000017.1_cluster_1	GCF0017268
JAGGOJ010000036.1_cluster_1	GCF0017269
SKBR01000002.1_cluster_13	GCF0017270
JABJWZ010000292.1_cluster_1	GCF0017271
PXYV01000032.1_cluster_1	GCF0017272
CAIVND010000061.1_cluster_1	GCF0017273
CAIWNR010000289.1_cluster_1	GCF0017274
JAFRFW010000464.1_cluster_1	GCF0017275
FMHT01000003.1_cluster_10	GCF0017276
JACIIZ010000018.1_cluster_1	GCF0017277
JAFFIX010000003.1_cluster_1	GCF0017278
QEVM01000121.1_cluster_1	GCF0017279
QWEX01000004.1_cluster_1	GCF0017280
JAVS01000107.1_cluster_1	GCF0017281
FYDV01000001.1_cluster_2	GCF0017282
JAAGPD010000059.1_cluster_1	GCF0017283
JAAMQQ010000001.1_cluster_5	GCF0017284
RBUS01000154.1_cluster_1	GCF0017285
VLNY01000005.1_cluster_1	GCF0017286
QXTJ01000040.1_cluster_1	GCF0017287
CP011371.1_cluster_5	GCF0017288
JAAMEI010000020.1_cluster_1	GCF0017289
UCEK01000009.1_cluster_1	GCF0017290
CAINUY010000572.1_cluster_1	GCF0017291
JVZY01000175.1_cluster_1	GCF0017292
WXXL01000044.1_cluster_1	GCF0017293
CP045480.1_cluster_19	GCF0017294
VAWN01000099.1_cluster_1	GCF0017295
VSDL01000092.1_cluster_1	GCF0017296
RBXR01000001.1_cluster_29	GCF0017297
VDFY01000257.1_cluster_1	GCF0017298
MADP01000070.1_cluster_1	GCF0017299
CP011806.1_cluster_2	GCF0017300
JADJNS010000014.1_cluster_1	GCF0017301
CP033185.1_cluster_4	GCF0017302
LT604072.1_cluster_6	GCF0017303
JZHZ01000007.1_cluster_5	GCF0017304
CP063993.1_cluster_1	GCF0017305
JACIFI010000018.1_cluster_1	GCF0017306
CP078145.1_cluster_17	GCF0017307
QJKF01000020.1_cluster_1	GCF0017308
BMML01000047.1_cluster_1	GCF0017309
CP078145.1_cluster_19	GCF0017310
JACUZI010000006.1_cluster_1	GCF0017311
BAGE01000053.1_cluster_2	GCF0017312
NKRE01000001.1_cluster_18	GCF0017313
MIHG01000173.1_cluster_1	GCF0017314
JAFAYI010000018.1_cluster_1	GCF0017315
QVIG01000001.1_cluster_48	GCF0017316
JACHJP010000008.1_cluster_5	GCF0017317
FR873697.1_cluster_5	GCF0017318
LFVW01000265.1_cluster_1	GCF0017319
JAHCDI010000004.1_cluster_13	GCF0017320
LAVA02000018.1_cluster_2	GCF0017321
BGC0002671	GCF0017322
BONQ01000180.1_cluster_1	GCF0017323
JABMCA010000082.1_cluster_1	GCF0017324
LDTD01000128.1_cluster_1	GCF0017325
SMKJ01000303.1_cluster_1	GCF0017326
BMPI01000062.1_cluster_1	GCF0017327
RBAL01000008.1_cluster_2	GCF0017328
BONW01000016.1_cluster_3	GCF0017329
PVTF01000005.1_cluster_1	GCF0017330
JACHMO010000001.1_cluster_28	GCF0017331
CDME01000010.1_cluster_1	GCF0017332
JAAATY010000015.1_cluster_1	GCF0017333
MTQO01000021.1_cluster_1	GCF0017334
SLWS01000010.1_cluster_1	GCF0017335
BIFR01000002.1_cluster_4	GCF0017336
JACBWZ010000261.1_cluster_1	GCF0017337
JACHJV010000001.1_cluster_30	GCF0017338
JOJM01000073.1_cluster_1	GCF0017339
LIQN01000037.1_cluster_1	GCF0017340
NNBJ01000021.1_cluster_2	GCF0017341
BEWU01000009.1_cluster_2	GCF0017342
JADJBD010000003.1_cluster_1	GCF0017343
AP022614.1_cluster_17	GCF0017344
BGC0000970	GCF0017345
PJMW01000001.1_cluster_2	GCF0017346
KQ948781.1_cluster_1	GCF0017347
JADWPD010000028.1_cluster_3	GCF0017348
JAGPXL010000007.1_cluster_1	GCF0017349
KL997427.1_cluster_3	GCF0017350
JAEMUX010000003.1_cluster_1	GCF0017351
JADJFQ010000023.1_cluster_1	GCF0017352
JAHDPD010000245.1_cluster_1	GCF0017353
LS483469.1_cluster_6	GCF0017354
CAIWBK010000088.1_cluster_3	GCF0017355
RAZO01000459.1_cluster_1	GCF0017356
JABMCA010000021.1_cluster_1	GCF0017357
LYDS01000813.1_cluster_1	GCF0017358
LGDE01000010.1_cluster_1	GCF0017359
JAGXJM010000051.1_cluster_1	GCF0017360
KB913032.1_cluster_6	GCF0017361
PNAA01000054.1_cluster_1	GCF0017362
BBOJ01000011.1_cluster_3	GCF0017363
JAAMPJ010000007.1_cluster_1	GCF0017364
QFWW01000008.1_cluster_2	GCF0017365
AUBB01000037.1_cluster_1	GCF0017366
JACHMT010000003.1_cluster_2	GCF0017367
QHHU01000015.1_cluster_2	GCF0017368
KQ948253.1_cluster_1	GCF0017369
RKQF01000001.1_cluster_52	GCF0017370
JAFAYI010000030.1_cluster_1	GCF0017371
ARVW01000001.1_cluster_12	GCF0017372
FNON01000004.1_cluster_2	GCF0017373
CP045480.1_cluster_10	GCF0017374
FOFF01000017.1_cluster_2	GCF0017375
LQPQ01000198.1_cluster_1	GCF0017376
BOML01000028.1_cluster_1	GCF0017377
VSEY01000001.1_cluster_2	GCF0017378
BAEH01000120.1_cluster_1	GCF0017379
JAACYW010000011.1_cluster_1	GCF0017380
MUMG01000200.1_cluster_1	GCF0017381
BGC0001212	GCF0017382
LR130759.1_cluster_6	GCF0017383
JACGSQ010000064.1_cluster_3	GCF0017384
JZWV01000382.1_cluster_1	GCF0017385
SCDQ01000039.1_cluster_1	GCF0017386
JAGPXE010000011.1_cluster_3	GCF0017387
JAHSTF010000023.1_cluster_1	GCF0017388
CP029241.1_cluster_14	GCF0017389
FOZX01000007.1_cluster_2	GCF0017390
CP007153.2_cluster_15	GCF0017391
BIFH01000042.1_cluster_1	GCF0017392
MCIO01000001.1_cluster_7	GCF0017393
AP023359.1_cluster_29	GCF0017394
JACVYG010000004.1_cluster_1	GCF0017395
JAHTGP010000001.1_cluster_28	GCF0017396
CP001736.1_cluster_9	GCF0017397
BOOA01000065.1_cluster_1	GCF0017398
GG657742.1_cluster_28	GCF0017399
AP023438.1_cluster_33	GCF0017400
JADBEA010000001.1_cluster_1	GCF0017401
JACBXD010000116.1_cluster_1	GCF0017402
VCKW01000003.1_cluster_1	GCF0017403
JABBPG010000010.1_cluster_1	GCF0017404
KB906886.1_cluster_1	GCF0017405
LMUR01000020.1_cluster_1	GCF0017406
PTIX01000010.1_cluster_3	GCF0017407
JADLPQ010000005.1_cluster_5	GCF0017408
MECK01000048.1_cluster_1	GCF0017409
RSFG01000001.1_cluster_20	GCF0017410
BMVW01000026.1_cluster_2	GCF0017411
BOOW01000018.1_cluster_2	GCF0017412
WYCT01000279.1_cluster_1	GCF0017413
WPBZ01000044.1_cluster_2	GCF0017414
JACGSQ010000047.1_cluster_1	GCF0017415
FNHI01000026.1_cluster_1	GCF0017416
JACERG010000023.1_cluster_1	GCF0017417
PSTQ01000004.1_cluster_1	GCF0017418
BMRP01000057.1_cluster_1	GCF0017419
CP077658.1_cluster_10	GCF0017420
CP060828.1_cluster_59	GCF0017421
VBVX01000008.1_cluster_1	GCF0017422
BOOT01000029.1_cluster_1	GCF0017423
KQ948039.1_cluster_1	GCF0017424
CP040605.1_cluster_13	GCF0017425
BMWH01000005.1_cluster_1	GCF0017426
MWFK01000002.1_cluster_5	GCF0017427
JACMHY010000013.1_cluster_2	GCF0017428
JOBX01000066.1_cluster_1	GCF0017429
LFML01000079.1_cluster_1	GCF0017430
JOAK01000022.1_cluster_1	GCF0017431
SSBJ01000018.1_cluster_2	GCF0017432
CP079105.1_cluster_9	GCF0017433
CABEGA010000051.1_cluster_1	GCF0017434
FOLM01000007.1_cluster_5	GCF0017435
JALM01000023.1_cluster_1	GCF0017436
JACJIK010000002.1_cluster_1	GCF0017437
VELM01000015.1_cluster_1	GCF0017438
FZPH01000017.1_cluster_1	GCF0017439
BONC01000011.1_cluster_1	GCF0017440
JOFN01000004.1_cluster_2	GCF0017441
FNQB01000003.1_cluster_4	GCF0017442
SMLC01000044.1_cluster_1	GCF0017443
JAIQDD010000001.1_cluster_1	GCF0017444
JABETO010000008.1_cluster_1	GCF0017445
QAIS01000658.1_cluster_1	GCF0017446
BBPP01000020.1_cluster_1	GCF0017447
FMHU01000002.1_cluster_25	GCF0017448
QKYN01000072.1_cluster_1	GCF0017449
AP017992.1_cluster_1	GCF0017450
JADFZZ010000021.1_cluster_2	GCF0017451
BGC0002148	GCF0017452
JACGWZ010000010.1_cluster_1	GCF0017453
JACDUR010000009.1_cluster_2	GCF0017454
VCKX01000470.1_cluster_1	GCF0017455
JADKYQ010000021.1_cluster_1	GCF0017456
JAGINW010000001.1_cluster_49	GCF0017457
PJOK01000068.1_cluster_1	GCF0017458
SMKP01000197.1_cluster_1	GCF0017459
WWGM01000005.1_cluster_1	GCF0017460
SNXZ01000011.1_cluster_1	GCF0017461
JAAUSY010000094.1_cluster_1	GCF0017462
NIBG01000009.1_cluster_1	GCF0017463
VENL01000010.1_cluster_1	GCF0017464
BAWW01000005.1_cluster_1	GCF0017465
VEJM01000007.1_cluster_1	GCF0017466
JAIQGL010000018.1_cluster_2	GCF0017467
CP024972.1_cluster_10	GCF0017468
JADBEJ010000004.1_cluster_3	GCF0017469
BDCX01000011.1_cluster_1	GCF0017470
SMKY01000293.1_cluster_1	GCF0017471
VSFF01000016.1_cluster_1	GCF0017472
NEUH01000502.1_cluster_1	GCF0017473
AMLP01000089.1_cluster_1	GCF0017474
BNBW01000025.1_cluster_1	GCF0017475
NOWF01000001.1_cluster_1	GCF0017476
FRDO01000009.1_cluster_1	GCF0017477
MDER01000025.1_cluster_1	GCF0017478
JABGNB010000042.1_cluster_1	GCF0017479
WAAS01000001.1_cluster_1	GCF0017480
SOCP01000016.1_cluster_2	GCF0017481
AP019371.1_cluster_9	GCF0017482
CP035758.1_cluster_16	GCF0017483
SLXV01000028.1_cluster_1	GCF0017484
FXTI01000004.1_cluster_2	GCF0017485
VOVB01000028.1_cluster_1	GCF0017486
CP041405.1_cluster_1	GCF0017487
VCKX01000369.1_cluster_1	GCF0017488
VUOB01000060.1_cluster_1	GCF0017489
JADBEL010000037.1_cluster_1	GCF0017490
HF570108.1_cluster_16	GCF0017491
RQJC01000001.1_cluster_1	GCF0017492
GL892032.1_cluster_9	GCF0017493
JAGGQD010000106.1_cluster_1	GCF0017494
CP073249.1_cluster_31	GCF0017495
FMDI01000296.1_cluster_1	GCF0017496
MUKA01000184.1_cluster_1	GCF0017497
MWIF01000108.1_cluster_1	GCF0017498
JNXY01000015.1_cluster_1	GCF0017499
CAJYWC010000059.1_cluster_1	GCF0017500
CP048104.1_cluster_3	GCF0017501
JAGGLQ010000002.1_cluster_2	GCF0017502
SSBJ01000005.1_cluster_3	GCF0017503
BNBU01000003.1_cluster_3	GCF0017504
KB911605.1_cluster_1	GCF0017505
CP016279.1_cluster_38	GCF0017506
BBXG01000005.1_cluster_3	GCF0017507
JAHCDI010000004.1_cluster_4	GCF0017508
BOOA01000027.1_cluster_1	GCF0017509
CP003923.1_cluster_3	GCF0017510
JADBEI010000001.1_cluster_17	GCF0017511
LDHX01000009.1_cluster_2	GCF0017512
BNBY01000003.1_cluster_2	GCF0017513
KI632511.1_cluster_11	GCF0017514
JAAOTI010000007.1_cluster_1	GCF0017515
JAGGMS010000001.1_cluster_46	GCF0017516
NKYE01000006.1_cluster_3	GCF0017517
WHTH01000002.1_cluster_1	GCF0017518
AP022871.1_cluster_15	GCF0017519
SMKW01000115.1_cluster_1	GCF0017520
PYGA01000015.1_cluster_1	GCF0017521
CP020567.1_cluster_33	GCF0017522
LGDO01000096.1_cluster_1	GCF0017523
JAGIYX010000023.1_cluster_1	GCF0017524
VIGB01000003.1_cluster_5	GCF0017525
JACHJV010000002.1_cluster_4	GCF0017526
BBYM01000015.1_cluster_1	GCF0017527
BBZG01000001.1_cluster_6	GCF0017528
JADLPR010000021.1_cluster_1	GCF0017529
JADG01000003.1_cluster_2	GCF0017530
JAGEOK010000039.1_cluster_1	GCF0017531
BONQ01000206.1_cluster_1	GCF0017532
JADG01000003.1_cluster_3	GCF0017533
CP015098.1_cluster_44	GCF0017534
VWPH01000010.1_cluster_3	GCF0017535
JAFQ01000004.1_cluster_19	GCF0017536
SSBI01000009.1_cluster_1	GCF0017537
RKQF01000001.1_cluster_29	GCF0017538
RCOL01000001.1_cluster_38	GCF0017539
CP028369.1_cluster_25	GCF0017540
VIGB01000003.1_cluster_19	GCF0017541
CP029601.1_cluster_31	GCF0017542
JACBWY010000237.1_cluster_1	GCF0017543
JAHFZZ010000014.1_cluster_3	GCF0017544
CAACUY010000076.1_cluster_1	GCF0017545
CAACUY010000021.1_cluster_1	GCF0017546
JACHGN010000011.1_cluster_2	GCF0017547
BNCE01000010.1_cluster_3	GCF0017548
CP010407.1_cluster_36	GCF0017549
JZWY01001040.1_cluster_1	GCF0017550
CP016174.1_cluster_20	GCF0017551
NMQT01000083.1_cluster_1	GCF0017552
CP023407.1_cluster_27	GCF0017553
GG657758.1_cluster_11	GCF0017554
JACEGI010000003.1_cluster_1	GCF0017555
JAHSTF010000033.1_cluster_1	GCF0017556
QURH01000312.1_cluster_1	GCF0017557
RFFG01000021.1_cluster_1	GCF0017558
BMRA01000025.1_cluster_1	GCF0017559
JAGEOJ010000020.1_cluster_1	GCF0017560
BMVL01000021.1_cluster_2	GCF0017561
CP059322.1_cluster_19	GCF0017562
JADBEB010000001.1_cluster_15	GCF0017563
VCKW01000116.1_cluster_1	GCF0017564
VCKY01000057.1_cluster_1	GCF0017565
JADBDZ010000001.1_cluster_3	GCF0017566
JAGGOK010000070.1_cluster_1	GCF0017567
WXEW01000012.1_cluster_3	GCF0017568
KQ948675.1_cluster_2	GCF0017569
JAACYW010000010.1_cluster_2	GCF0017570
QGGZ01000019.1_cluster_1	GCF0017571
SPAZ01000303.1_cluster_1	GCF0017572
JAHWFK010000064.1_cluster_1	GCF0017573
JAHFZZ010000035.1_cluster_1	GCF0017574
BHXA01000027.1_cluster_1	GCF0017575
JADPUN010000199.1_cluster_1	GCF0017576
BMRN01000048.1_cluster_1	GCF0017577
WOFH01000025.1_cluster_1	GCF0017578
LBMU02000091.1_cluster_1	GCF0017579
LISX01000022.1_cluster_1	GCF0017580
VYTZ01000016.1_cluster_2	GCF0017581
VJZE01000026.1_cluster_1	GCF0017582
CP015098.1_cluster_9	GCF0017583
JACHJV010000001.1_cluster_2	GCF0017584
CP054936.1_cluster_15	GCF0017585
CP061913.1_cluster_7	GCF0017586
LIQR01000168.1_cluster_1	GCF0017587
CP031264.1_cluster_32	GCF0017588
AUAX01000007.1_cluster_3	GCF0017589
JAGGLQ010000008.1_cluster_3	GCF0017590
JDUZ01000014.1_cluster_1	GCF0017591
JAHRIA010000598.1_cluster_1	GCF0017592
CP027306.1_cluster_3	GCF0017593
WWIC01000086.1_cluster_1	GCF0017594
BGC0001233	GCF0017595
JADG01000009.1_cluster_2	GCF0017596
VCLA01000207.1_cluster_1	GCF0017597
CP029823.1_cluster_21	GCF0017598
NEUI01000440.1_cluster_1	GCF0017599
CP025551.1_cluster_66	GCF0017600
LJGV01000022.1_cluster_26	GCF0017601
MSIF01000010.1_cluster_1	GCF0017602
JAACYW010000012.1_cluster_1	GCF0017603
JOJM01000064.1_cluster_1	GCF0017604
FMZZ01000028.1_cluster_1	GCF0017605
MTQO01000029.1_cluster_2	GCF0017606
SMKX01000005.1_cluster_1	GCF0017607
FOUP01000013.1_cluster_3	GCF0017608
SLXQ01000024.1_cluster_2	GCF0017609
OESX01000547.1_cluster_1	GCF0017610
GG657746.1_cluster_7	GCF0017611
WHSZ01000014.1_cluster_1	GCF0017612
CP016793.1_cluster_39	GCF0017613
JAAMPJ010000010.1_cluster_2	GCF0017614
FOAZ01000009.1_cluster_1	GCF0017615
KQ948464.1_cluster_1	GCF0017616
BMMU01000045.1_cluster_1	GCF0017617
QFRK01000007.1_cluster_3	GCF0017618
CP023690.1_cluster_15	GCF0017619
CP029788.1_cluster_36	GCF0017620
WEGH01000003.1_cluster_7	GCF0017621
KK853997.1_cluster_31	GCF0017622
JAGSOH010000016.1_cluster_1	GCF0017623
JAAFZA010000228.1_cluster_1	GCF0017624
QZWF01000002.1_cluster_6	GCF0017625
CP029193.1_cluster_45	GCF0017626
VCLA01000167.1_cluster_1	GCF0017627
BJHY01000001.1_cluster_6	GCF0017628
BNBT01000046.1_cluster_1	GCF0017629
JAERRL010000020.1_cluster_1	GCF0017630
CP034539.1_cluster_5	GCF0017631
CP023202.1_cluster_3	GCF0017632
OAOJ01000001.1_cluster_20	GCF0017633
MWJO01000025.1_cluster_1	GCF0017634
BMSL01000024.1_cluster_1	GCF0017635
CP003988.1_cluster_2	GCF0017636
WUTW01000001.1_cluster_4	GCF0017637
JADPUN010000120.1_cluster_1	GCF0017638
WEGH01000001.1_cluster_5	GCF0017639
BOMV01000133.1_cluster_1	GCF0017640
CAITPA010000036.1_cluster_1	GCF0017641
BMWG01000034.1_cluster_1	GCF0017642
JAGSMN010000036.1_cluster_1	GCF0017643
JAGXJL010000019.1_cluster_1	GCF0017644
AULB01000007.1_cluster_1	GCF0017645
JADOUA010000001.1_cluster_30	GCF0017646
NMQT01000068.1_cluster_1	GCF0017647
CP054916.1_cluster_4	GCF0017648
CP000249.1_cluster_16	GCF0017649
FNHV01000030.1_cluster_1	GCF0017650
BOMX01000171.1_cluster_1	GCF0017651
JABCPZ010000014.1_cluster_1	GCF0017652
VIWY01000008.1_cluster_1	GCF0017653
JOJL01000014.1_cluster_1	GCF0017654
JFCB01000001.1_cluster_3	GCF0017655
CP050522.1_cluster_18	GCF0017656
BGC0000289	GCF0017657
JACCBN010000001.1_cluster_4	GCF0017658
QHKI01000010.1_cluster_2	GCF0017659
JRZE01000006.1_cluster_3	GCF0017660
LIPR01000134.1_cluster_1	GCF0017661
LJCW01000148.1_cluster_1	GCF0017662
CP034279.1_cluster_22	GCF0017663
NBCN01000002.1_cluster_1	GCF0017664
KZ679082.1_cluster_26	GCF0017665
CP021707.1_cluster_36	GCF0017666
AXDB02000021.1_cluster_1	GCF0017667
LLZU01000012.1_cluster_1	GCF0017668
BNBZ01000011.1_cluster_1	GCF0017669
CP029823.1_cluster_12	GCF0017670
JAAKZY010000002.1_cluster_1	GCF0017671
JADKMA010000288.1_cluster_1	GCF0017672
WVUG01000103.1_cluster_1	GCF0017673
JOJM01000078.1_cluster_1	GCF0017674
JADOUF010000001.1_cluster_20	GCF0017675
BONF01000009.1_cluster_2	GCF0017676
JAAGMP010001052.1_cluster_1	GCF0017677
RHMC01000116.1_cluster_1	GCF0017678
RBXE01000001.1_cluster_4	GCF0017679
CP061913.1_cluster_24	GCF0017680
VAWN01000073.1_cluster_1	GCF0017681
JACQDL010000047.1_cluster_1	GCF0017682
BOPG01000012.1_cluster_2	GCF0017683
CP006272.1_cluster_7	GCF0017684
CP025990.1_cluster_19	GCF0017685
RJAC01000003.1_cluster_2	GCF0017686
BGC0000379	GCF0017687
CP036534.1_cluster_29	GCF0017688
BOMQ01000102.1_cluster_1	GCF0017689
BMVI01000066.1_cluster_1	GCF0017690
JAGMUL010000121.1_cluster_2	GCF0017691
OCNE01000002.1_cluster_1	GCF0017692
JACHMG010000001.1_cluster_4	GCF0017693
BGC0000291	GCF0017694
NOKT01000006.1_cluster_2	GCF0017695
FOFF01000027.1_cluster_1	GCF0017696
JOHB01000008.1_cluster_2	GCF0017697
BMWE01000040.1_cluster_1	GCF0017698
VBHB01000102.1_cluster_1	GCF0017699
AUGU01000013.1_cluster_1	GCF0017700
BONS01000016.1_cluster_1	GCF0017701
CP048835.1_cluster_4	GCF0017702
WWKG01001297.1_cluster_1	GCF0017703
JNXI01000002.1_cluster_3	GCF0017704
KQ949031.1_cluster_1	GCF0017705
KQ949048.1_cluster_1	GCF0017706
JACVQE020000001.1_cluster_34	GCF0017707
ML123127.1_cluster_1	GCF0017708
FQVL01000001.1_cluster_1	GCF0017709
VJYJ02000160.1_cluster_1	GCF0017710
FMHZ01000002.1_cluster_9	GCF0017711
VTHK01000050.1_cluster_1	GCF0017712
KB895830.1_cluster_2	GCF0017713
CP009291.1_cluster_1	GCF0017714
JABFSA010000104.1_cluster_1	GCF0017715
DGBX01000013.1_cluster_1	GCF0017716
RCHM01000015.1_cluster_1	GCF0017717
JADPUN010000021.1_cluster_1	GCF0017718
LJGW01000333.1_cluster_1	GCF0017719
CP031320.1_cluster_3	GCF0017720
WWJX01000932.1_cluster_1	GCF0017721
BMUZ01000004.1_cluster_1	GCF0017722
JACYXY010000375.1_cluster_1	GCF0017723
JADKMA010000121.1_cluster_2	GCF0017724
JAANNP010000074.1_cluster_1	GCF0017725
FNVO01000013.1_cluster_1	GCF0017726
FNVT01000007.1_cluster_1	GCF0017727
VDGT01000016.1_cluster_2	GCF0017728
WYCT01000168.1_cluster_1	GCF0017729
SYJX01000052.1_cluster_1	GCF0017730
MUMG01000374.1_cluster_1	GCF0017731
JACHWI010000001.1_cluster_3	GCF0017732
KK037166.1_cluster_14	GCF0017733
LMUD01000016.1_cluster_1	GCF0017734
ANBE01000017.1_cluster_1	GCF0017735
BMVF01000009.1_cluster_4	GCF0017736
JABQ01000032.1_cluster_1	GCF0017737
BMMU01000067.1_cluster_1	GCF0017738
SMKN01000245.1_cluster_1	GCF0017739
SIXH01000041.1_cluster_1	GCF0017740
KB891214.1_cluster_1	GCF0017741
JACBZH010000001.1_cluster_3	GCF0017742
BMVN01000078.1_cluster_1	GCF0017743
JTHL01000001.1_cluster_10	GCF0017744
BONQ01000183.1_cluster_1	GCF0017745
CP061913.1_cluster_17	GCF0017746
BONQ01000157.1_cluster_1	GCF0017747
JNYJ01000019.1_cluster_1	GCF0017748
BONQ01000158.1_cluster_1	GCF0017749
JTHL01000001.1_cluster_35	GCF0017750
BGC0001963	GCF0017751
JAAGMH010000126.1_cluster_1	GCF0017752
GG657751.1_cluster_1	GCF0017753
JAAGMT010000625.1_cluster_1	GCF0017754
RDBL01000009.1_cluster_6	GCF0017755
CP032427.1_cluster_3	GCF0017756
KB911802.1_cluster_1	GCF0017757
JOIK01000049.1_cluster_1	GCF0017758
JACHJL010000011.1_cluster_1	GCF0017759
BGC0001199	GCF0017760
LGEA01000121.1_cluster_1	GCF0017761
FMCX01000002.1_cluster_1	GCF0017762
JAIRCH010001014.1_cluster_1	GCF0017763
JAEAMR010000010.1_cluster_4	GCF0017764
JZWY01000578.1_cluster_1	GCF0017765
JAIY01000010.1_cluster_7	GCF0017766
JOHN01000039.1_cluster_1	GCF0017767
CP015726.1_cluster_12	GCF0017768
LJCV01000110.1_cluster_1	GCF0017769
JODS01000049.1_cluster_2	GCF0017770
LOKT01000019.1_cluster_1	GCF0017771
GG657738.1_cluster_9	GCF0017772
JAGSXH010000049.1_cluster_2	GCF0017773
KL591030.1_cluster_1	GCF0017774
JACXYU010000007.1_cluster_1	GCF0017775
CP017157.1_cluster_12	GCF0017776
QGMS01001511.1_cluster_1	GCF0017777
CP029188.1_cluster_35	GCF0017778
JABZEE010000001.1_cluster_2	GCF0017779
KQ948566.1_cluster_2	GCF0017780
